address,alt_addr,used,type,class_,icon,latitude,longitude,found_country,country_code,country_name
"Wakefield, Popes Creek, Westmoreland, Virginia",,1,,,,38.1859162,-76.9161654,True,US,United States
"Mount Vernon, Fairfax, Virginia",,1,,,,38.710179,-77.0888199,True,US,United States
"Bridge's Creek, Westmoreland, Virginia",,1,,,,38.1153203,-76.7567355,True,US,United States
"Ferry Farm, King George, Virginia",,1,,,,38.2786312,-77.175356,True,US,United States
"Epping Forest, Lancaster, VA",,1,,,,37.7913044,-76.5258553,True,US,United States
"Of, Epping Forest, Lancaster, Virginia",,1,,,,37.7913044,-76.5258553,True,US,United States
"Wakefield, Westmoreland, Virginia",,1,,,,38.1720754,-76.9491371,True,US,United States
"""Western View"", Culpeper, Virginia",,1,,,,38.4733823,-77.9961275,True,US,United States
"Gloucester Co., Virginia",,1,,,,37.4452288,-76.5594479,True,US,United States
"Offredericksburg, Spotsylvania, VA",,1,,,,38.1880936,-77.6741751,True,US,United States
"""Whitehaven"", England",,1,,,,54.5474199,-3.5885335,True,GB,England
"Bridges Creek, King George, VA",,1,,,,38.2786312,-77.175356,True,US,United States
", , VA",,1,,,,41.903411,12.4528527,True,VA,Civitas Vaticana - Città del Vaticano
"Millenkick, Lancaster, Virginia",,1,,,,37.7625738,-76.4723233,True,US,United States
"Oakley, Lancaster, Virginia",,1,,,,37.7625738,-76.4723233,True,US,United States
"Of, , Lancaster, Virginia",,1,,,,40.043127,-76.3244568,True,US,United States
", King George, Virginia",,1,,,,38.2786312,-77.175356,True,US,United States
", , Stafford, Virginia",,1,,,,38.4167265,-77.4579783,True,US,United States
VA,,1,,,,41.903411,12.4528527,True,VA,Civitas Vaticana - Città del Vaticano
"""Bewdley"", Lancaster Co, VA",,1,,,,37.7665507,-76.570956,True,US,United States
"Sulgrave Manor, England",,1,,,,52.1057594,-1.1833205,True,GB,England
", Stafford Co., Va.",,1,,,,38.4167265,-77.4579783,True,US,United States
", Westmoreland Co., VA",,1,,,,38.1153203,-76.7567355,True,US,United States
", St Mary, Maryland",,1,,,,29.7124309,-91.46261,True,US,United States
"Lower Machodc, Westmoreland Co., Vi.",,1,,,,38.1153203,-76.7567355,True,US,United States
", Surry Co, VA",,1,,,,37.1118778,-76.895924,True,US,United States
", Westmoreland, VA",,1,,,,38.1153203,-76.7567355,True,US,United States
Will Proved,,1,,,,,,False,,
", Of Glouster, VA",,1,,,,38.2971472,-77.5320322,True,US,United States
"Warner Hall, Gloucester Co, VA",,1,,,,37.3396678,-76.4746982,True,US,United States
", York, VA.",,1,,,,37.2230374,-76.5156945,True,US,United States
", Cumberland, VA",,1,,,,37.5004191,-78.2469202,True,US,United States
"Lancaster Co., VA.",,1,,,,37.7625738,-76.4723233,True,US,United States
"Gloucester Co., VA.",,1,,,,37.4452288,-76.5594479,True,US,United States
"Gloucester, VA.",,1,,,,37.4452288,-76.5594479,True,US,United States
Chesake,,1,,,,,,False,,
", , Wiltshire, England",,1,,,,51.324162,-1.9032487,True,GB,England
"Millenbeck, Lancaster Co., Virginia",,1,,,,37.6698613,-76.4885612,True,US,United States
", , England",,1,,,,52.5310214,-1.2649062,True,GB,England
"Millenbeck, Lancaster, VA",,1,,,,37.6698613,-76.4885612,True,US,United States
"London, London, England",,1,,,,51.5156177,-0.0919983,True,GB,England
", Richmond, Virginia",,1,,,,37.5385087,-77.43428,True,US,United States
Infant,,1,,,,40.9985238,0.8493534,True,ES,España
", , Virginia",,1,,,,37.1232245,-78.4927721,True,US,United States
", Nansemond, VA",,1,,,,36.7670938,-76.5307823,True,US,United States
", , , Holland",,1,,,,52.2434979,5.6343227,True,NL,Netherlands
"Christchurch, Middlesex, VA.",,1,,,,37.6048617,-76.5343958,True,US,United States
", Middlesex, VA",,1,,,,37.6221412,-76.5904374,True,US,United States
", Middlesex, Virginia",,1,,,,37.6221412,-76.5904374,True,US,United States
", Middlesex Cnty, Virginia",,1,,,,37.1232245,-78.4927721,True,US,United States
", King George Co., VA",,1,,,,38.2786312,-77.175356,True,US,United States
", Essex, VA",,1,,,,37.9140592,-76.9326385,True,US,United States
"Sulgrave, Northamptonshire, England",,1,,,,52.1061958,-1.1915121,True,GB,England
"Little Creston, Northampton, England",,1,,,,52.2343297,-0.9028043,True,GB,England
"Tring, Hereford, England",,1,,,,52.0553813,-2.7151735,True,GB,England
"Spratton, Northamptonshire, England",,1,,,,52.3228736,-0.9477577,True,GB,England
England,,1,,,,52.5310214,-1.2649062,True,GB,England
