person_id,name,severity,issue_type,message
@I17@,Martha BALL,warning,implausible_age,"Person would be 351 years old if alive today (born 1675), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I35@,Augustine WARNER,warning,implausible_age,"Person would be 355 years old if alive today (born 1671), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I37@,Mildred WARNER,warning,implausible_age,"Person would be 353 years old if alive today (born 1673), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I38@,George WARNER,warning,implausible_age,"Person would be 352 years old if alive today (born 1674), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I44@,Richard BALL,warning,implausible_age,"Person would be 385 years old if alive today (born 1641), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I45@,William BALL,warning,implausible_age,"Person would be 383 years old if alive today (born 1643), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I47@,Joseph BALL,warning,implausible_age,"Person would be 376 years old if alive today (born 1650), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I48@,Hannah BALL,warning,implausible_age,"Person would be 375 years old if alive today (born 1651), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I50@,Mary DOODES,warning,implausible_age,"Person would be 384 years old if alive today (born 1642), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I51@,Mary MONTEQUE,warning,implausible_age,"Person would be 384 years old if alive today (born 1642), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I60@,Martha WASHINGTON,warning,implausible_age,"Person would be 399 years old if alive today (born 1627), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I61@,Margaret WASHINGTON,warning,implausible_age,"Person would be 399 years old if alive today (born 1627), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I68@,Elizabeth POPE,warning,implausible_age,"Person would be 392 years old if alive today (born 1634), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I69@,Nathaniel POPE,warning,implausible_age,"Person would be 391 years old if alive today (born 1635), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I72@,Margaret POPE,warning,implausible_age,"Person would be 384 years old if alive today (born 1642), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I73@,Nathaniel POPE,warning,implausible_age,"Person would be 384 years old if alive today (born 1642), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I74@,John POPE,warning,implausible_age,"Person would be 382 years old if alive today (born 1644), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I79@,Sarah WARNER,warning,implausible_age,"Person would be 382 years old if alive today (born 1644), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I82@,George READE,warning,implausible_age,"Person would be 386 years old if alive today (born 1640), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I87@,Elizabeth READE,warning,implausible_age,"Person would be 375 years old if alive today (born 1651), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I88@,Ann READE,warning,implausible_age,"Person would be 374 years old if alive today (born 1652), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I89@,Margaret READE,warning,implausible_age,"Person would be 372 years old if alive today (born 1654), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I90@,Thomas READE,warning,implausible_age,"Person would be 359 years old if alive today (born 1667), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I92@,Alice WALTHAM,warning,implausible_age,"Person would be 453 years old if alive today (born 1573), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I94@,Samuel BALL,warning,implausible_age,"Person would be 434 years old if alive today (born 1592), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I95@,Richard BALL,warning,implausible_age,"Person would be 432 years old if alive today (born 1594), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I100@,Samuel BALL,warning,implausible_age,"Person would be 425 years old if alive today (born 1601), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I104@,Cicely MATTHEW,warning,implausible_age,"Person would be 426 years old if alive today (born 1600), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I106@,Ellen MONTAGUE,warning,implausible_age,"Person would be 394 years old if alive today (born 1632), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I107@,Elizabeth MONTAGUE,warning,implausible_age,"Person would be 390 years old if alive today (born 1636), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I109@,Sarah MONTAGUE,warning,implausible_age,"Person would be 388 years old if alive today (born 1638), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I110@,Margaret MONTAGUE,warning,implausible_age,"Person would be 386 years old if alive today (born 1640), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I111@,Ann MONTAGUE,warning,implausible_age,"Person would be 358 years old if alive today (born 1668), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I112@,Elizabeth MONTAGUE,warning,implausible_age,"Person would be 356 years old if alive today (born 1670), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I113@,Margaret MONTAGUE,warning,implausible_age,"Person would be 354 years old if alive today (born 1672), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I114@,Ellen MONTAGUE,warning,implausible_age,"Person would be 352 years old if alive today (born 1674), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I119@,Robert WASHINGTON,warning,implausible_age,"Person would be 435 years old if alive today (born 1591), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I120@,Richard WASHINGTON,warning,implausible_age,"Person would be 435 years old if alive today (born 1591), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I122@,Elizabeth WASHINGTON,warning,implausible_age,"Person would be 431 years old if alive today (born 1595), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I123@,Lucy WASHINGTON,warning,implausible_age,"Person would be 430 years old if alive today (born 1596), which exceeds maximum plausible age of 122; inferred death date range will be added"
@I124@,Jane WASHINGTON,warning,implausible_age,"Person would be 428 years old if alive today (born 1598), which exceeds maximum plausible age of 122; inferred death date range will be added"
