country_code,country_name,address,latitude,found_country,continent,used,alt_addr,longitude
NONE,,Stratford-upon-Avon,52.1927803,True,,0,,-1.70634
NONE,,"Shottery, Warwickshire",52.1909684,True,,0,,-1.7276632
NONE,,Unmarried,-33.4596678,True,,0,,149.5481193
IE,Ireland,"County Down, Ireland",53.3397486,True,Europe,0,,-6.2952117
NONE,,"Haworth, Yorks.",-20.6315684,True,,0,,29.8425463
NONE,,"Penzance, Cornwall",50.1194794,True,,0,,-5.5352463
NONE,,"Clough House, High Town",51.8877641,True,,0,,-0.4120407
NONE,,Howarth,50.7176876,True,,0,,-3.4919307
NONE,,"Thornton, Nr. Bradford",53.7907753,True,,0,,-1.8540185
NONE,,Scarborough,54.2820009,True,,0,,-0.4011868
FR,France,"Lyon, France",45.7578137,True,Europe,0,,4.8320114
NONE,,Saint-Etienne,45.4401467,True,,0,,4.3873058
NONE,,Annecy,45.8992348,True,,0,,6.1288847
NONE,,Cruseilles,46.0338359,True,,0,,6.1069469
NONE,,Aix-les-Bains,45.6886292,True,,0,,5.9146362
NONE,,Grenoble,45.1875602,True,,0,,5.7357819
NONE,,Pers-Jussy,46.1066771,True,,0,,6.2676644
NONE,,Frangy,46.0190661,True,,0,,5.9293421
NONE,,Aviernoz,45.9756168,True,,0,,6.2298197
GB,England,"Kensington,Palace,London,England",51.505099,True,Europe,0,,-0.1876332
GB,England,"Osborne House,Isle of Wight,England",50.7505772,True,Europe,0,,-1.2700819
GB,England,"Royal Mausoleum,Frogmore,Berkshire,England",51.4740348,True,Europe,0,,-0.5982911
DE,Germany,"Schloss Rosenau,Near Coburg,Germany",51.1638175,True,Europe,0,,10.4478313
GB,England,"Windsor Castle,Berkshire,England",51.4837886,True,Europe,0,,-0.6040419
GB,England,"Royal Masoleum,Frogmore,Windsor,England",51.4756084,True,Europe,0,,-0.597552
GB,England,"Buckingham,Palace,London,England",51.4978676,True,Europe,0,,-0.1438839
GB,England,"Throne Room,Buckingham Palac,England",51.5008349,True,Europe,0,,-0.1430045
NONE,,"Friedrichshof,Near,Kronberg,Taunus",50.1796561,True,,0,,8.5085855
NONE,,"Friedenskirche,Potsdam",52.4012197,True,,0,,13.0435766
GB,England,"Windsor,Berkshire,England",51.4837886,True,Europe,0,,-0.6040419
DE,Germany,"Darmstadt,,,Germany",49.872775,True,Europe,0,,8.651177
GB,England,"Schomberg House,Pall Mall,London,England",51.5052863,True,Europe,0,,-0.1373398
GB,England,"Frogmore,,,England",51.7190385,True,Europe,0,,-0.3355844
NONE,,"Bagshot Park,Surrey",51.3713707,True,,0,,-0.6931739
NONE,,Cannes,43.5515198,True,,0,,7.0134418
GB,England,"Bantridge Park,Balcombe,Sussex,England",51.0573017,True,Europe,0,,-0.1329998
DK,Denmark,"Yellow Palace,Copenhagen,Denmark",55.6867243,True,Europe,0,,12.5700724
GB,England,"Sandringham,,Norfolk,England",52.8427652,True,Europe,0,,0.4318137
GB,England,"St. George Chap.,Windsor,Berkshire,England",51.4837886,True,Europe,0,,-0.6040419
GB,England,"Frogmore House,Windsor,Berkshire,England",51.4743933,True,Europe,0,,-0.5944637
GB,England,"Marlborough Hse,London,England",51.504975,True,Europe,0,,-0.1360297
GB,England,"Windsor Castle,St. George Chap.,Berkshire,England",51.4534889,True,Europe,0,,-1.031873
GB,England,"Marlborough,House,London,England",51.5704927,True,Europe,0,,-0.0953269
GB,England,"Portman Square,London,England",51.516013,True,Europe,0,,-0.1547569
GB,England,"Coppins,Iver,Bucks,England",51.7834994,True,Europe,0,,-0.8946441
GB,England,"London,England",51.5074456,True,Europe,0,,-0.1277653
DE,Germany,"Neues Palais,Potsdam,Germany",52.4013836,True,Europe,0,,13.0158969
DE,Germany,"Friedenskirche,Potsdam,Germany",52.4012197,True,Europe,0,,13.0435766
DE,Germany,"Berlin,Germany",52.5173885,True,Europe,0,,13.3951309
NL,Netherlands,"Haus Doorn,Netherlands",52.030836,True,Europe,0,,5.3445416
NONE,,Arolsen,51.3649894,True,,0,,9.0376388
NONE,,Tyrol,47.223193,True,,0,,11.5261028
GB,England,"Whippingham Ch.,Isle of Wight,England",50.740502,True,Europe,0,,-1.2703607
NONE,,Lausanne,46.5218269,True,,0,,6.6327025
GB,England,"St. George's,Chapel,Windsor Castle,England",51.4837886,True,Europe,0,,-0.6040419
GB,England,"White Lodge,Richmond Park,Surrey,England",51.3368965,True,Europe,0,,-0.3008938
FR,France,"Paris,,,France",48.8588897,True,Europe,0,,2.320041
GB,England,"York Cottage,Sandringham,Norfolk,England",52.8262326,True,Europe,0,,0.5162681
GB,England,"St. George Chap.,,Windsor,England",51.4837886,True,Europe,0,,-0.6040419
GB,England,"Harewood House,Yorkshire,,England",53.8948932,True,Europe,0,,-1.5287425
GB,Scotland,"Morven,,,Scotland",58.233703,True,Europe,0,,-3.6957832
GB,England,"Wood Farm,Wolferton,Norfolk,England",52.8293207,True,Europe,0,,0.4625821
RU,Russian Federation,"Tsarskoye Selo,Pushkin,,Russia",59.7205467,True,Europe,0,,30.4069376
RU,Russian Federation,"Ekaterinburg,,,Russia",56.8382071,True,Europe,0,,60.6007886
RU,Russian Federation,"Livadia,Crimea,Near Yalta,Russia",64.6863136,True,Europe,0,,97.7453061
RU,Russian Federation,"Cathedral of the,Fortress of P&P,St. Petersburg,Russia",59.938732,True,Europe,0,,30.316229
DK,Denmark,"Copenhagen,,,Denmark",55.6867243,True,Europe,0,,12.5700724
RU,Russian Federation,"Alexander Palace,Tsarskoe Selo,,Russia",64.6863136,True,Europe,0,,97.7453061
RU,Russian Federation,"Peterhof,Near,St. Petersburg,Russia",59.9372321,True,Europe,0,,30.2046418
GB,England,"17 Bruton St.,London,W1,England",50.9241486,True,Europe,0,,0.4375916
GB,Scotland,"Glamis Castle,,Angus,Scotland",56.620378,True,Europe,0,,-3.0019917
GR,Greece,"Isle of Kerkira,Mon Repos,Corfu,Greece",39.6062313,True,Europe,0,,19.9261335
GB,England,"Buckingham,Palace,Music Room,England",53.4011337,True,Europe,0,,-2.9690906
GB,England,"Clarence House,St. James,,England",51.1323289,True,Europe,0,,0.2605632
GB,England,",,,England",52.5310214,True,Europe,0,,-1.2649062
GB,England,"Belgian Suite,Buckingham,Palace,England",51.4978676,True,Europe,0,,-0.1438839
GB,England,"St. Mary's Hosp.,Paddington,London,England",51.517434,True,Europe,0,,-0.1743245
GB,England,"Music Room,Buckingham,Palace,England",51.4978676,True,Europe,0,,-0.1438839
GB,England,"Park House,Sandringham,Norfolk,England",52.8278528,True,Europe,0,,0.5059864
