ID,Name,birth_place,birth_alt_addr,birth_date,birth_country,birth_continent,death_place,death_alt_addr,death_date,death_country,death_continent
@I0001@,William Shakespeare,Stratford-upon-Avon,,1564,England,Europe,Stratford-upon-Avon,,1616,England,Europe
@I0002@,Mary Arden,,,1537,,,,,1608,,
@I0003@,John Shakespeare,,,1531,,,,,1601,,
@I0004@,Anne Hathaway,"Shottery, Warwickshire",,1556,England,Europe,Stratford-upon-Avon,,1623,England,Europe
@I0005@,Susanna Shakespeare,Stratford-upon-Avon,,1583,England,Europe,Stratford-upon-Avon,,1649,England,Europe
@I0006@,Hamnet Shakespeare,Stratford-upon-Avon,,1585,England,Europe,Stratford-upon-Avon,,1596,England,Europe
@I0007@,Judith Shakespeare,Stratford-upon-Avon,,1585,England,Europe,Stratford-upon-Avon,,1662,England,Europe
@I0008@,Joan Shakespeare,,,1558,,,,,1558,,
@I0009@,Margaret Shakespeare,,,1562,,,,,1563,,
@I0010@,Gilbert Shakespeare,,,1566,,,,,1612,,
@I0011@,Joan Shakespeare,,,1569,,,,,1646,,
@I0012@,Anne Shakespeare,,,1571,,,,,1579,,
@I0013@,Richard Shakespeare,,,1574,,,,,1613,,
@I0014@,Edmund Shakespeare,,,1580,,,,,1607,,
@I0015@,Richard Shakespeare,,,1490,,,,,1561,,
@I0016@,Henry Shakespeare,,,,,,,,1596,,
@I0017@,Margaret,,,,,,,,1597,,
@I0018@,Agnes Webbe,,,,,,,,,,
@I0019@,Robert Arden,,,,,,,,1556,,
@I0020@,John Hall,,,1575,,,,,1635,,
@I0021@,Elizabeth Shakespeare,,,1608,,,,,1670,,
@I0022@,Thomas Nash,,,1593,,,,,1647,,
@I0023@,John Barnard,,,,,,,,1674,,
@I0024@,Thomas Quiney,,,1589,,,,,1655,,
@I0025@,Shakespeare Quiney,,,1616,,,,,1617,,
@I0026@,Richard Quiney,,,1618,,,,,1639,,
@I0027@,Thomas Quiney,,,1620,,,,,1639,,
@I0028@,Richard Hathaway,,,,,,,,1581,,
@I0029@,Margaret Wheeler,,,,,,Died in childbirth,,,England,Europe
@I0030@,Not named Quiney,,,,,,Died in childbirth,,,England,Europe
@I0031@,Unknown,,,,,,,,,,
